Id,Review,Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity,clean_review,temp_list
0,for some reason everybody complains and i'm complaining now about my toilet that i just boughtfor some reason it's not ceiling from the tank to the pedestal i can't get it sealed without cracking the toilet support design for some reason i'm very unhappy with his toilet never buy american standard again,0,0,0,0,0,0,0,0,0,0,1,0,reason everybody complains complaining toilet boughtfor reason not ceiling tank pedestal not get sealed without cracking toilet support design reason unhappy toilet never buy american standard,"['reason', 'everybody', 'complains', 'complaining', 'toilet', 'boughtfor', 'reason', 'not', 'ceiling', 'tank', 'pedestal', 'not', 'get', 'sealed', 'without', 'cracking', 'toilet', 'support', 'design', 'reason', 'unhappy', 'toilet', 'never', 'buy', 'american', 'standard']"
1,"i like everything about it, great choice of spray patterns, it puts out a large volume of water out of my 1"" pipes",0,0,0,0,1,1,0,0,0,0,0,1,like everything great choice spray patterns puts large volume water pipes,"['like', 'everything', 'great', 'choice', 'spray', 'patterns', 'puts', 'large', 'volume', 'water', 'pipes']"
2,excellent ceiling fan brace. easy to install and well made,0,0,0,0,0,0,1,0,0,1,0,1,excellent ceiling fan brace easy install well made,"['excellent', 'ceiling', 'fan', 'brace', 'easy', 'install', 'well', 'made']"
3,work great easy to use . no issues at all with hanging fan,0,0,0,0,0,1,0,0,0,0,1,1,work great easy use no issues hanging fan,"['work', 'great', 'easy', 'use', 'no', 'issues', 'hanging', 'fan']"
4,"i would recommend this product because it is perfect for watering hanging baskets, the wand has a shut off vale on it to be able to shut off as you move from one plant to another.see more",0,0,0,0,0,0,0,0,0,1,0,1,would recommend product perfect watering hanging baskets wand shut vale able shut move one plant another see,"['would', 'recommend', 'product', 'perfect', 'watering', 'hanging', 'baskets', 'wand', 'shut', 'vale', 'able', 'shut', 'move', 'one', 'plant', 'another', 'see']"
5,i will never not use these. i highly recommend everyone have one of these especially if you can't get an alarm system.,0,0,0,0,0,0,0,0,0,1,0,1,never not use highly recommend everyone one especially not get alarm system,"['never', 'not', 'use', 'highly', 'recommend', 'everyone', 'one', 'especially', 'not', 'get', 'alarm', 'system']"
6,very sturdy. you could hang a good sized fixture with this mount. easy to install,0,0,0,0,0,0,1,0,0,1,0,1,sturdy could hang good sized fixture mount easy install,"['sturdy', 'could', 'hang', 'good', 'sized', 'fixture', 'mount', 'easy', 'install']"
7,cuts pex clean and easily with one hand. blade is easily replaceable and probably can be sharpened without much fuss. up to 1 inch without a hitch.,0,0,0,0,0,1,0,0,0,0,1,1,cuts pex clean easily one hand blade easily replaceable probably sharpened without much fuss inch without hitch,"['cuts', 'pex', 'clean', 'easily', 'one', 'hand', 'blade', 'easily', 'replaceable', 'probably', 'sharpened', 'without', 'much', 'fuss', 'inch', 'without', 'hitch']"
8,good product in good condition ( no rust).,0,0,0,0,0,0,0,0,0,1,0,1,good product good condition no rust,"['good', 'product', 'good', 'condition', 'no', 'rust']"
9,yellow sprinkler made from pretty thin plastic. although that doesn't stop it from being sturdy and seemingly tough. it hooked up to my hose with no problem or leaks which is a plussee more,0,0,0,0,0,0,1,0,0,1,0,1,yellow sprinkler made pretty thin plastic although not stop sturdy seemingly tough hooked hose no problem leaks plussee,"['yellow', 'sprinkler', 'made', 'pretty', 'thin', 'plastic', 'although', 'not', 'stop', 'sturdy', 'seemingly', 'tough', 'hooked', 'hose', 'no', 'problem', 'leaks', 'plussee']"
